;Scopy version,f4beeb1
;Exported on,Wednesday May 22/05/2024
;Device,M2K
;Nr of samples,8000
;Sample rate,100000
;Tool,Oscilloscope
;Additional Information,
Sample,Time(S),CH1(V),CH2(V)
617,-0.02547,0.277472,-2.98365
618,-0.02546,0.280646,-2.98523
619,-0.02545,0.282233,-2.98523
620,-0.02544,0.285407,-2.98523
621,-0.02543,0.288581,-2.98682
622,-0.02542,0.290168,-2.98682
623,-0.02541,0.293342,-2.99
624,-0.0254,0.29493,-2.99
625,-0.02539,0.299691,-2.99158
626,-0.02538,0.302865,-2.99317
627,-0.02537,0.304452,-2.99317
628,-0.02536,0.307626,-2.99634
629,-0.02535,0.309213,-2.99634
630,-0.02534,0.312387,-2.99634
631,-0.02533,0.315561,-2.99634
632,-0.02532,0.317148,-2.99793
633,-0.02531,0.321909,-2.99793
634,-0.0253,0.325083,-2.99952
635,-0.02529,0.32667,-2.99952
636,-0.02528,0.329845,-3.0011
637,-0.02527,0.331432,-3.0011
638,-0.02526,0.329845,-3.0011
639,-0.02525,0.329845,-3.0011
640,-0.02524,0.325083,-2.99952
641,-0.02523,0.323496,-2.99952
642,-0.02522,0.318735,-2.99793
643,-0.02521,0.315561,-2.99793
644,-0.0252,0.315561,-2.99634
645,-0.02519,0.3108,-2.99634
646,-0.02518,0.307626,-2.99476
647,-0.02517,0.306039,-2.99476
648,-0.02516,0.302865,-2.99317
649,-0.02515,0.301278,-2.99317
650,-0.02514,0.296517,-2.99158
651,-0.02513,0.29493,-2.99
652,-0.02512,0.291755,-2.99
653,-0.02511,0.290168,-2.99
654,-0.0251,0.286994,-2.98682
655,-0.02509,0.28382,-2.98523
656,-0.02508,0.282233,-2.98523
657,-0.02507,0.279059,-2.98365
658,-0.02506,0.277472,-2.98365
659,-0.02505,0.272711,-2.98206
660,-0.02504,0.269537,-2.98047
661,-0.02503,0.26795,-2.98047
662,-0.02502,0.264776,-2.97889
663,-0.02501,0.263189,-2.97889
664,-0.025,0.260015,-2.9773
665,-0.02499,0.25684,-2.9773
666,-0.02498,0.253666,-2.97571
667,-0.02497,0.250492,-2.97571
668,-0.02496,0.247318,-2.97571
669,-0.02495,0.245731,-2.97412
670,-0.02494,0.242557,-2.97254
671,-0.02493,0.24097,-2.97254
672,-0.02492,0.237796,-2.96936
673,-0.02491,0.234622,-2.96936
674,-0.0249,0.233035,-2.96936
675,-0.02489,0.228274,-2.96778
676,-0.02488,0.225099,-2.96778
677,-0.02487,0.221925,-2.9646
678,-0.02486,0.220338,-2.9646
679,-0.02485,0.217164,-2.96302
680,-0.02484,0.21399,-2.96302
681,-0.02483,0.212403,-2.95984
682,-0.02482,0.209229,-2.95984
683,-0.02481,0.206055,-2.95984
684,-0.0248,0.201294,-2.95667
685,-0.02479,0.201294,-2.95667
686,-0.02478,0.19812,-2.95667
687,-0.02477,0.196533,-2.95508
